registro,codmes,customer_id,segmento,plazo,coddiv,importe,di,tasa,spread,personal_type,personal_id,plazo_dias,flag_vta,cutoff_date,variable_1,variable_2,variable_3,variable_4,variable_5,variable_6,variable_7,variable_8,variable_9,variable_10,variable_11,variable_12,variable_13,variable_14,variable_15,variable_16,variable_17,variable_18,variable_19,variable_20,variable_21,variable_22
DPPN-4010895,202402,0,PRIME,3 meses,PEN,430000,2.1574,0.083,0.0074,7,857,360,0,28/02/2025,0.546538186,,0.37458485,,0.752675188,0.379504452,0.803973617,0.222698702,0.846411492,0.306608454,0.587827242,0.423577208,0.56697432,A,C,A,H,D,B,F,I,E
DPPN-25803,202304,0,PRIME,3 meses,PEN,106000,0.0838,0.076,0.0074,7,1281,360,0,28/02/2025,0.2272719,0.432967625,0.642657195,0.22501293,,0.040963428,0.154136708,0.059473046,0.14516558,0.533773475,0.791162468,0.202211782,0.326751305,C,A,G,F,E,J,L,C,M
DPPN-4711976,202502,0,RETAIL,3 meses,PEN,487000,2.5222,0.068,0.0011,7,1964,360,1,29/02/2024,0.051433124,0.461665988,,,,0.766221533,0.817788148,0.010770192,0.369646294,0.933878317,0.014127675,0.134836144,0.883136945,A,D,D,D,D,P,S,I,Q
DPPN-689985,202401,0,PRIME,3 meses,PEN,160000,0.4294,0.038,0.0074,7,2412,360,1,28/02/2025,0.028662185,,0.620273833,,,0.529497535,0.826845287,0.878911579,0.717378226,0.030219195,0.866148606,0.250130574,0.783681797,A,B,A,A,E,T,C,K,J
DPPN-2276642,202303,0,RETAIL,3 meses,PEN,289000,1.255,0.058,0.0011,7,2628,360,1,29/02/2024,0.424811441,0.499924152,0.049510994,0.395743027,,0.959879288,0.597628365,0.301873701,0.685873947,0.130198117,0.57652861,0.959284465,0.342503173,D,C,D,D,D,I,K,F,S
DPPN-1132773,202402,0,PRIME,3 meses,PEN,196000,0.6598,0.046,0.0074,7,2701,360,1,28/02/2025,0.806129701,0.506213007,,,,0.942812528,0.510092975,0.717757143,0.629965942,0.96490694,0.520876233,0.682032969,0.859624059,D,B,C,G,E,G,D,N,V
DPPN-2350440,202302,0,RETAIL,3 meses,PEN,295000,1.2934,0.059,0.0011,7,3865,360,1,29/02/2024,0.780048871,0.595013387,,0.68449661,,0.939812869,0.269522835,0.120670287,0.197747247,0.904063587,0.898972286,0.485482368,0.958757232,B,E,B,B,B,B,G,J,U
DPPN-2165945,202409,0,PRIME,3 meses,PEN,280000,1.1974,0.06,0.0074,7,4451,360,0,28/02/2025,0.730059868,,,0.239654814,,0.075335819,0.306210116,0.04294164,0.86517396,0.812899509,0.523145585,0.328281496,0.348623936,B,E,D,L,E,C,F,J,F
DPPN-2645632,202303,0,RETAIL,3 meses,PEN,319000,1.447,0.041,0.0011,7,4789,360,1,29/02/2024,0.46704211,0.025033031,,,,0.043525563,0.973419213,0.929491057,0.852532578,0.029467279,0.72987105,0.795506735,0.248426817,A,C,B,H,A,E,E,A,B
DPPN-2534935,202408,0,PRIME,3 meses,PEN,310000,1.3894,0.061,0.0074,7,5281,360,1,28/02/2025,0.669208985,0.208664268,0.089602861,,0.262622244,0.784444471,0.333240882,0.85520394,0.423966985,0.075427191,0.628031087,0.626555245,0.572541402,A,F,F,B,C,C,E,J,F
DPPN-3678804,202507,0,RETAIL,3 meses,PEN,403000,1.9846,0.038,0.0011,7,6116,360,0,29/02/2024,0.988383833,0.262995956,,0.583640101,0.587885654,0.125508685,0.675844934,0.51370532,0.472581721,0.423509713,0.831715796,0.818676627,0.304617258,B,B,G,L,D,Q,A,G,R
DPPN-948278,202312,0,RETAIL,3 meses,PEN,181000,0.5638,0.047,0.0011,7,6610,360,1,29/02/2024,0.922412824,0.651503444,,0.029802859,,0.477001539,0.316749767,0.742379007,0.051025447,0.59570046,0.524111256,0.642243475,0.155842381,B,F,G,C,A,P,H,D,K
DPPN-4748875,202301,0,PRIME,3 meses,PEN,490000,2.5414,0.032,0.0074,7,8184,360,0,28/02/2025,0.627991442,0.351198456,0.183393267,0.404447987,,0.01946991,0.117591983,0.843348298,0.786385507,0.091710652,0.201856972,0.167834957,0.455989542,C,B,B,E,A,G,C,M,H
DPPN-2977723,202308,0,PRIME,3 meses,PEN,346000,1.6198,0.047,0.0074,7,8313,360,1,28/02/2025,0.642409041,0.96100408,,,,0.147580714,0.707497981,0.167497106,0.168160041,0.853462416,0.269950188,0.613211721,0.464793563,D,D,F,G,B,G,I,H,Z
DPPN-1464864,202412,0,RETAIL,3 meses,PEN,223000,0.8326,0.056,0.0011,7,8745,360,1,29/02/2024,0.531754227,0.966000405,0.982764385,,,0.304630862,0.133992539,0.643129406,0.257515958,0.12275952,0.85120116,0.855587706,0.537231951,C,B,D,H,D,J,N,O,X
DPPN-3272915,202305,0,PRIME,3 meses,PEN,370000,1.7734,0.066,0.0074,7,8830,360,1,28/02/2025,0.277954853,0.621977484,0.756574107,0.196889077,0.947845211,0.017083203,0.302788639,0.092653047,0.828168187,0.321830509,0.316920542,0.144753329,0.995328723,A,F,A,L,E,H,L,L,S
DPPN-1907652,202504,0,RETAIL,3 meses,PEN,259000,1.063,0.032,0.0011,7,9785,360,1,29/02/2024,0.304201599,0.024978695,,,0.343702723,0.992660076,0.722857453,0.806942141,0.474538441,0.075387181,0.571648789,0.348348535,0.605171603,D,C,C,H,A,O,A,M,U
